Machine_ID,Temperature,Run_Time,Downtime_Flag
1,82.45071229516849,134.98388591465005,0
2,72.92603548243223,123.11584207281922,0
3,84.71532807151038,101.49075924800435,0
4,97.84544784612038,83.82658055736066,0
5,71.48769937914996,117.45558284033974,0
6,71.4879456457623,109.83713463554373,0
7,98.68819223261087,122.3798305006933,1
8,86.51152093729362,115.87929504204924,0
9,67.95788421097572,126.23881788298338,0
10,83.13840065378947,86.6191197109858,0
11,68.04873460781306,132.93485164085814,0
12,68.01405369644614,104.93999011730999,0
13,78.62943407349051,151.88152181563163,0
14,46.30079633013303,82.7703045477608,0
15,49.12623251230451,143.39909507913123,0
16,66.5656870613854,104.9477695865662,0
17,59.80753319498364,83.71454990963879,0
18,79.71370998892911,87.90285414864196,0
19,61.37963886718184,91.991317295142,0
20,53.81544447997062,110.60414866004791,0
21,96.98473153382331,113.07088720088748,0
22,71.61335549270197,85.65749990153553,0
23,76.01292307031886,99.39113519347544,0
24,53.62877720679815,153.55675896529658,0
25,66.83425913212226,143.1885792525178,0
26,76.66383884564799,110.9080917418508,0
27,57.73509633866546,100.950086954205,0
28,80.63547027518509,103.00078316795653,0
29,65.99041965121792,115.33794931826041,0
30,70.62459375310085,74.43018587003986,0
31,65.97440081655904,93.56558656441638,0
32,102.78417276763406,58.285398153060264,0
33,74.79754162893099,109.98057806513198,0
34,59.13433606566149,116.17989849256853,0
35,87.33817368154783,87.92033844251566,0
36,56.68734525043467,139.3496690822508,0
37,78.13295392507133,69.35585842494147,0
38,45.60494814180336,63.390627994754496,0
39,55.07720926652354,105.6112954639993,0
40,77.95291853803685,126.17745756530387,0
41,86.07699869993115,142.0981922864467,1
42,77.57052421784955,88.5278934282765,0
43,73.2652757641764,126.96702083578239,0
44,70.48344456616067,99.03728826248232,0
45,52.82217014448859,95.68431750147951,0
46,64.20233687407936,122.0914984371668,0
47,68.09041843560318,116.3080719603355,0
48,90.85683339328374,60.59019607539376,0
49,80.15427434352692,136.9135087431474,0
50,48.554397669558995,134.5022838536863,0
51,79.86125954092192,84.36093246226176,0
52,69.22376579375525,109.89508833593523,0
53,64.84616999541062,112.35075465706848,0
54,84.17514433261302,106.51684414559767,0
55,90.46499283743927,86.2423711538645,0
56,88.96920178674299,83.20941580154872,0
57,62.41173715166042,99.36114822521387,0
58,70.36181436223178,129.31822548148412,0
59,79.96895147105346,113.5900038648608,0
60,89.63317690683539,90.73464169784735,0
61,67.81238643232065,119.29246776620862,0
62,72.21511535004274,28.78643448424812,0
